Temperature - (Celsius), Year, Statistics, Country, ISO3
25.922, 1991, Jan Average, Indonesia, IDN
25.822, 1991, Feb Average, Indonesia, IDN
26.2723, 1991, Mar Average, Indonesia, IDN
26.4782, 1991, Apr Average, Indonesia, IDN
26.2828, 1991, May Average, Indonesia, IDN
26.4038, 1991, Jun Average, Indonesia, IDN
25.7928, 1991, Jul Average, Indonesia, IDN
25.8016, 1991, Aug Average, Indonesia, IDN
26.0241, 1991, Sep Average, Indonesia, IDN
26.0919, 1991, Oct Average, Indonesia, IDN
25.9599, 1991, Nov Average, Indonesia, IDN
26.098, 1991, Dec Average, Indonesia, IDN
25.8987, 1992, Jan Average, Indonesia, IDN
26.1443, 1992, Feb Average, Indonesia, IDN
26.6325, 1992, Mar Average, Indonesia, IDN
26.4718, 1992, Apr Average, Indonesia, IDN
26.458, 1992, May Average, Indonesia, IDN
26.1689, 1992, Jun Average, Indonesia, IDN
25.5303, 1992, Jul Average, Indonesia, IDN
26.0876, 1992, Aug Average, Indonesia, IDN
26.1624, 1992, Sep Average, Indonesia, IDN
26.0062, 1992, Oct Average, Indonesia, IDN
25.8514, 1992, Nov Average, Indonesia, IDN
25.8453, 1992, Dec Average, Indonesia, IDN
25.7634, 1993, Jan Average, Indonesia, IDN
25.7944, 1993, Feb Average, Indonesia, IDN
25.938, 1993, Mar Average, Indonesia, IDN
26.2053, 1993, Apr Average, Indonesia, IDN
26.2895, 1993, May Average, Indonesia, IDN
26.235, 1993, Jun Average, Indonesia, IDN
25.8403, 1993, Jul Average, Indonesia, IDN
25.9428, 1993, Aug Average, Indonesia, IDN
25.7695, 1993, Sep Average, Indonesia, IDN
26.1909, 1993, Oct Average, Indonesia, IDN
26.4334, 1993, Nov Average, Indonesia, IDN
26.2452, 1993, Dec Average, Indonesia, IDN
26.1691, 1994, Jan Average, Indonesia, IDN
26.1661, 1994, Feb Average, Indonesia, IDN
25.8484, 1994, Mar Average, Indonesia, IDN
26.2593, 1994, Apr Average, Indonesia, IDN
26.257, 1994, May Average, Indonesia, IDN
25.8771, 1994, Jun Average, Indonesia, IDN
25.7112, 1994, Jul Average, Indonesia, IDN
25.6437, 1994, Aug Average, Indonesia, IDN
26.0021, 1994, Sep Average, Indonesia, IDN
26.1858, 1994, Oct Average, Indonesia, IDN
26.4135, 1994, Nov Average, Indonesia, IDN
26.3233, 1994, Dec Average, Indonesia, IDN
26.0306, 1995, Jan Average, Indonesia, IDN
25.9151, 1995, Feb Average, Indonesia, IDN
