Year,Country,CO2 emissions (tonnes)
1991,Brazil,217227472.0
1992,Brazil,218383504.0
1993,Brazil,228333216.0
1994,Brazil,239470720.0
1995,Brazil,255583376.0
1996,Brazil,281194784.0
1997,Brazil,296585256.0
1998,Brazil,308305720.0
1999,Brazil,316282440.0
2000,Brazil,324226040.0
2001,Brazil,332987400.0
2002,Brazil,327434832.0
2003,Brazil,317508448.0
2004,Brazil,333675144.0
2005,Brazil,342086472.0
2006,Brazil,341946368.0
2007,Brazil,356918752.0
2008,Brazil,380344928.0
2009,Brazil,360090776.0
2010,Brazil,411240192.0
2011,Brazil,430194902.3
2012,Brazil,460063092.5
2013,Brazil,493593511.3
2014,Brazil,519526349.7
2015,Brazil,512081882.0
2016,Brazil,473741376.0
