Year,Country,CO2 emissions (tonnes)
1991,China,2538923968.0
1992,China,2657112406.0
1993,China,2835795473.0
1994,China,3010242208.0
1995,China,3265056964.0
1996,China,3408346591.0
1997,China,3414549286.0
1998,China,3265902621.0
1999,China,3258134887.0
2000,China,3349294776.0
2001,China,3426144062.0
2002,China,3782439297.0
2003,China,4452310296.0
2004,China,5125894416.0
2005,China,5771168440.0
2006,China,6377748016.0
2007,China,6861750652.0
2008,China,7375189907.0
2009,China,7758811768.0
2010,China,8500542695.0
2011,China,9388199234.0
2012,China,9633899303.0
2013,China,9796527160.0
2014,China,9820360492.0
2015,China,9716467840.0
2016,China,9704479432.0
