Year,Country,CO2 emissions (tonnes)
1991,India,656740892.9
1992,India,698756949.7
1993,India,722894259.4
1994,India,764241966.7
1995,India,811460787.1
1996,India,878826964.5
1997,India,915049313.0
1998,India,933549258.1
1999,India,995233071.6
2000,India,1029637759.0
2001,India,1035640714.0
2002,India,1047595651.0
2003,India,1091873009.0
2004,India,1145545234.0
2005,India,1210145667.0
2006,India,1287149211.0
2007,India,1390253491.0
2008,India,1547991039.0
2009,India,1720120560.0
2010,India,1700027394.0
2011,India,1817171600.0
2012,India,1983758813.0
2013,India,1997878578.0
2014,India,2207533892.0
2015,India,2276407195.0
2016,India,2377447863.0
